,movie_id,language_id
4002,2608,91
4003,2608,30
4004,2609,30
4005,2610,30
4006,2611,30
4007,2612,30
4008,2613,38
4009,2613,30
4010,2613,34
4011,2614,30
4012,2615,8
4013,2615,49
4014,2615,30
4015,2616,8
4016,2616,34
4017,2616,30
4018,2617,30
4019,2617,49
4020,2617,78
4021,2618,30
4022,2618,97
4023,2618,18
4024,2619,30
4025,2620,30
4026,2621,30
4027,2622,34
4028,2622,93
4029,2622,38
4030,2622,30
4031,2623,30
4032,2624,55
4033,2624,39
4034,2624,38
4035,2624,30
4036,2625,30
4037,2626,91
4038,2626,30
4039,2627,30
4040,2628,30
4041,2629,30
4042,2630,30
4043,2631,30
4044,2632,30
4045,2633,30
4046,2634,30
4047,2635,30
4048,2635,34
4049,2636,30
4050,2637,38
4051,2637,30
4052,2637,108
4053,2638,30
4054,2639,30
4055,2639,39
4056,2640,30
4057,2641,30
4058,2642,68
4059,2643,30
4060,2644,49
4061,2644,30
4062,2645,30
4063,2646,30
4064,2646,91
4065,2647,30
4066,2648,49
4067,2648,30
4068,2649,30
4069,2650,30
4070,2651,30
4071,2652,30
4072,2653,30
4073,2654,38
4074,2654,30
4075,2655,30
4076,2656,30
4077,2656,83
4078,2656,50
4079,2657,30
4080,2658,30
4081,2659,30
4082,2660,49
4083,2660,50
4084,2660,30
4085,2661,30
4086,2662,30
4087,2663,30
4088,2664,30
4089,2665,30
4090,2666,30
4091,2667,34
4092,2667,30
4093,2668,30
4094,2668,91
4095,2669,30
4096,2670,30
4097,2671,30
4098,2672,30
4099,2673,30
4100,2674,30
4101,2675,30
4102,2676,30
4103,2677,30
4104,2678,30
4105,2679,30
4106,2679,108
4107,2679,42
4108,2679,83
4109,2680,30
4110,2681,30
4111,2682,30
